제목,장르,감독,배우,평점
Movie 7928,액션,Director L,"Actor Y, Actor R, Actor W, Actor F",6.9
Movie 9293,코미디,Director X,"Actor E, Actor U, Actor M, Actor J, Actor O",2.9
Movie 9497,드라마,Director O,"Actor P, Actor Y",4.2
Movie 8261,애니메이션,Director O,"Actor H, Actor I",1.0
Movie 1314,로맨스,Director K,"Actor K, Actor D, Actor S, Actor J, Actor F",3.2
Movie 8424,스릴러,Director H,"Actor O, Actor T",4.8
Movie 7428,드라마,Director O,Actor X,5.9
Movie 5654,액션,Director V,"Actor K, Actor E, Actor C, Actor L",0.1
Movie 8448,드라마,Director K,"Actor H, Actor W, Actor G, Actor F, Actor D",2.8
Movie 9999,SF,Director M,"Actor L, Actor C, Actor E, Actor E",4.3
Movie 4991,SF,Director H,"Actor D, Actor G, Actor G",5.7
Movie 9820,코미디,Director A,"Actor U, Actor D, Actor M, Actor O, Actor E",7.7
Movie 4175,드라마,Director O,"Actor A, Actor I",9.2
Movie 6881,스릴러,Director F,"Actor Z, Actor O",8.9
Movie 3506,액션,Director B,"Actor B, Actor V, Actor Z, Actor R, Actor K",10.0
Movie 7820,로맨스,Director C,"Actor B, Actor F",9.6
Movie 5124,드라마,Director A,Actor W,9.7
Movie 2244,로맨스,Director P,"Actor Q, Actor C, Actor R",2.5
Movie 7164,로맨스,Director A,"Actor C, Actor V, Actor P, Actor I, Actor A",7.6
Movie 5182,스릴러,Director U,Actor M,5.0
Movie 4465,드라마,Director A,"Actor O, Actor K",1.0
Movie 7835,SF,Director L,"Actor A, Actor W, Actor P, Actor T",0.0
Movie 1649,로맨스,Director Y,Actor L,3.8
Movie 4069,코미디,Director C,"Actor L, Actor M, Actor Z, Actor J",8.0
Movie 7007,액션,Director A,"Actor B, Actor E, Actor T",4.6
Movie 3221,로맨스,Director Y,"Actor O, Actor I",5.7
Movie 6758,로맨스,Director P,"Actor E, Actor I",3.2
Movie 825,로맨스,Director H,"Actor C, Actor Y",9.6
Movie 8847,스릴러,Director C,"Actor W, Actor H, Actor S, Actor R, Actor Z",7.2
Movie 4010,SF,Director N,"Actor P, Actor H",6.8
Movie 7242,코미디,Director Q,"Actor L, Actor I, Actor R, Actor U, Actor I",2.8
Movie 6760,SF,Director O,"Actor S, Actor V, Actor N, Actor Q, Actor T",4.4
Movie 5802,스릴러,Director Z,"Actor A, Actor B",5.4
Movie 2656,애니메이션,Director W,Actor E,5.7
Movie 4383,코미디,Director U,"Actor I, Actor L",0.4
Movie 2756,애니메이션,Director V,"Actor S, Actor T",8.7
Movie 3416,코미디,Director R,"Actor T, Actor K",7.1
Movie 9967,SF,Director W,Actor W,1.6
Movie 891,드라마,Director Y,"Actor H, Actor B, Actor G, Actor A",6.1
Movie 2412,SF,Director O,"Actor K, Actor S",0.4
Movie 3246,SF,Director S,Actor U,4.0
Movie 6199,애니메이션,Director K,"Actor A, Actor Y, Actor C, Actor E",9.3
Movie 3939,애니메이션,Director P,"Actor K, Actor X, Actor V",3.1
Movie 7994,애니메이션,Director D,"Actor R, Actor A, Actor M",0.5
Movie 4057,액션,Director I,"Actor O, Actor K, Actor Z, Actor B",6.8
Movie 7854,액션,Director B,"Actor K, Actor Y, Actor H, Actor C",0.6
Movie 6616,SF,Director D,"Actor N, Actor S, Actor W, Actor U",0.5
Movie 8358,SF,Director N,"Actor T, Actor K",0.8
Movie 4793,스릴러,Director B,"Actor W, Actor R, Actor E, Actor W",9.1
Movie 6432,액션,Director T,"Actor F, Actor X, Actor C, Actor N, Actor A",0.1
Movie 5803,스릴러,Director O,Actor E,3.4
Movie 8746,애니메이션,Director O,Actor Z,5.8
Movie 1552,로맨스,Director E,"Actor V, Actor A, Actor H, Actor H",0.0
Movie 3691,로맨스,Director T,"Actor I, Actor T, Actor B, Actor V",9.6
Movie 3600,애니메이션,Director D,"Actor D, Actor C, Actor K, Actor W, Actor W",8.5
Movie 3329,로맨스,Director E,"Actor Y, Actor F",1.8
Movie 4019,애니메이션,Director Y,"Actor W, Actor K",2.8
Movie 8424,드라마,Director V,"Actor J, Actor E, Actor I",1.2
Movie 4784,액션,Director F,"Actor A, Actor K",5.7
Movie 5957,액션,Director Y,"Actor V, Actor H",9.7
Movie 8166,스릴러,Director L,"Actor V, Actor W, Actor V, Actor T",6.6
Movie 3923,코미디,Director W,"Actor J, Actor T, Actor W, Actor L, Actor C",1.7
Movie 1688,코미디,Director Y,Actor H,8.8
Movie 2030,드라마,Director Z,"Actor D, Actor G",0.4
Movie 8552,액션,Director G,"Actor K, Actor U",8.2
Movie 2002,SF,Director L,"Actor R, Actor O, Actor F, Actor O",1.8
Movie 8630,애니메이션,Director A,Actor Q,2.1
Movie 809,스릴러,Director F,"Actor U, Actor D, Actor I",10.0
Movie 1055,스릴러,Director X,"Actor Z, Actor Y, Actor I, Actor N, Actor C",7.9
Movie 5776,SF,Director E,"Actor I, Actor D",9.1
Movie 204,드라마,Director U,Actor C,1.1
Movie 5251,액션,Director M,"Actor Z, Actor T",4.2
Movie 5810,애니메이션,Director X,"Actor L, Actor S, Actor B, Actor P",2.0
Movie 4093,드라마,Director V,"Actor X, Actor W, Actor J",8.5
Movie 8824,코미디,Director J,"Actor S, Actor J",3.3
Movie 3648,코미디,Director S,"Actor R, Actor W",7.4
Movie 3765,액션,Director B,"Actor C, Actor J, Actor V, Actor I",3.7
Movie 4526,액션,Director P,"Actor H, Actor D, Actor G",0.8
Movie 513,SF,Director I,"Actor I, Actor T, Actor F, Actor W",0.5
Movie 7500,드라마,Director Q,"Actor E, Actor S",0.8
Movie 8686,코미디,Director S,"Actor R, Actor D",5.4
Movie 8719,코미디,Director V,"Actor V, Actor T, Actor M, Actor Y",4.3
Movie 3288,스릴러,Director E,"Actor Q, Actor H, Actor E, Actor P",2.2
Movie 1414,액션,Director P,Actor P,9.1
Movie 3519,애니메이션,Director A,"Actor R, Actor N",2.0
Movie 1950,스릴러,Director F,"Actor Q, Actor W",1.3
Movie 3857,스릴러,Director Q,"Actor D, Actor T, Actor W, Actor P, Actor Q",0.1
Movie 6180,코미디,Director R,Actor F,4.1
Movie 7922,스릴러,Director V,Actor K,8.3
Movie 9832,애니메이션,Director E,Actor U,6.0
Movie 6768,액션,Director E,"Actor F, Actor T",8.8
Movie 2366,코미디,Director E,"Actor S, Actor O",6.7
Movie 1735,코미디,Director N,"Actor A, Actor S, Actor Y, Actor X",9.2
Movie 2631,스릴러,Director O,Actor O,2.3
Movie 3772,드라마,Director S,"Actor L, Actor O, Actor Q, Actor A, Actor P",3.5
Movie 8737,드라마,Director A,"Actor I, Actor S, Actor Z, Actor M, Actor U",0.8
Movie 6567,스릴러,Director I,"Actor Y, Actor T, Actor E, Actor R",8.2
Movie 6047,스릴러,Director I,"Actor K, Actor V, Actor X, Actor Z",4.0
Movie 1026,로맨스,Director T,Actor A,4.9
Movie 832,액션,Director X,"Actor N, Actor T, Actor L, Actor E",4.3
Movie 7715,스릴러,Director U,"Actor D, Actor J, Actor Z, Actor P",3.8
Movie 2173,코미디,Director O,"Actor X, Actor B, Actor Y",1.1
Movie 6052,애니메이션,Director X,"Actor C, Actor Q, Actor X, Actor P",7.4
Movie 1672,코미디,Director Y,"Actor E, Actor L, Actor M",4.7
Movie 7344,스릴러,Director Q,"Actor B, Actor N, Actor Z",10.0
Movie 1366,액션,Director P,Actor X,3.9
Movie 5494,로맨스,Director H,"Actor J, Actor Z, Actor R, Actor A, Actor K",7.2
Movie 6144,애니메이션,Director J,"Actor K, Actor N, Actor I",0.2
Movie 9051,코미디,Director A,"Actor O, Actor Z",7.7
Movie 8890,스릴러,Director H,Actor V,2.9
Movie 6686,로맨스,Director O,"Actor G, Actor K",7.1
Movie 6968,로맨스,Director L,"Actor R, Actor S, Actor D, Actor N, Actor K",1.4
Movie 3727,애니메이션,Director M,"Actor P, Actor F, Actor N, Actor N, Actor B",9.7
Movie 5368,드라마,Director N,Actor H,2.6
Movie 3024,로맨스,Director H,"Actor T, Actor U",4.5
Movie 9838,코미디,Director D,"Actor J, Actor K",3.0
Movie 3863,SF,Director Y,"Actor O, Actor N, Actor Z, Actor F",3.5
Movie 4428,드라마,Director U,"Actor X, Actor R, Actor O",4.1
Movie 7855,드라마,Director V,"Actor D, Actor F, Actor L, Actor P",8.3
Movie 7697,액션,Director P,"Actor S, Actor G, Actor F",4.8
Movie 5007,코미디,Director K,"Actor V, Actor B, Actor O, Actor E",9.4
Movie 7885,애니메이션,Director I,"Actor H, Actor N, Actor W, Actor S",4.2
Movie 2993,SF,Director V,"Actor A, Actor O, Actor A, Actor F",1.5
Movie 2729,애니메이션,Director W,"Actor B, Actor H, Actor K",1.7
Movie 7375,드라마,Director T,Actor T,6.0
Movie 4551,액션,Director F,"Actor Q, Actor S, Actor O, Actor B",6.7
Movie 3943,스릴러,Director Y,"Actor Y, Actor L, Actor Q, Actor I",9.6
Movie 2092,드라마,Director M,Actor G,3.7
Movie 182,로맨스,Director J,Actor S,2.3
Movie 5209,드라마,Director E,Actor H,0.7
Movie 6837,애니메이션,Director M,"Actor G, Actor K, Actor R",9.2
Movie 3686,드라마,Director C,"Actor C, Actor Y, Actor U, Actor L",5.6
Movie 8331,애니메이션,Director L,"Actor U, Actor Y, Actor D",8.7
Movie 8192,액션,Director A,"Actor J, Actor V, Actor W",2.8
Movie 6558,SF,Director B,"Actor I, Actor H, Actor P, Actor R",6.4
Movie 5508,SF,Director T,"Actor G, Actor K, Actor E, Actor J, Actor E",3.3
Movie 6430,SF,Director G,"Actor G, Actor B",9.3
Movie 3821,드라마,Director G,"Actor S, Actor Z, Actor O",6.2
Movie 5884,액션,Director F,"Actor G, Actor U",6.6
Movie 3589,스릴러,Director G,"Actor S, Actor A, Actor I, Actor N, Actor E",5.9
Movie 3065,코미디,Director L,"Actor L, Actor H, Actor G, Actor P, Actor Z",4.4
Movie 6290,애니메이션,Director X,Actor G,1.7
Movie 8417,드라마,Director K,"Actor C, Actor B, Actor A, Actor Y",1.9
Movie 9202,로맨스,Director B,"Actor G, Actor O, Actor L, Actor P",5.4
Movie 5886,로맨스,Director G,"Actor B, Actor K, Actor E",8.2
Movie 9041,액션,Director B,"Actor A, Actor M, Actor Q, Actor R, Actor B",3.1
Movie 5468,액션,Director M,"Actor E, Actor A",1.3
Movie 2470,코미디,Director S,"Actor C, Actor W, Actor Z, Actor I",2.8
Movie 6174,애니메이션,Director S,"Actor H, Actor H, Actor W, Actor C",6.2
Movie 9075,드라마,Director L,"Actor G, Actor C, Actor D, Actor O, Actor L",4.2
Movie 2236,스릴러,Director Z,"Actor E, Actor K, Actor Y, Actor E",2.9
Movie 6159,드라마,Director C,Actor M,4.9
Movie 7259,드라마,Director O,"Actor Q, Actor C",4.2
Movie 7651,스릴러,Director N,"Actor P, Actor B, Actor X",6.3
Movie 2379,SF,Director L,Actor R,7.2
Movie 5429,스릴러,Director I,Actor I,0.6
Movie 2748,드라마,Director C,"Actor R, Actor D, Actor Q, Actor I, Actor N",5.3
Movie 5380,애니메이션,Director Q,Actor L,1.4
Movie 9691,SF,Director S,"Actor P, Actor O",1.3
Movie 3483,로맨스,Director Z,"Actor G, Actor P, Actor M",4.5
Movie 936,SF,Director Q,"Actor L, Actor L",7.1
Movie 8579,액션,Director T,"Actor B, Actor N, Actor O, Actor V, Actor Y",5.6
Movie 1025,드라마,Director T,"Actor M, Actor I, Actor N, Actor R",3.4
Movie 6518,스릴러,Director W,Actor J,4.0
Movie 9470,드라마,Director K,"Actor L, Actor U, Actor V",4.6
Movie 6174,드라마,Director P,"Actor N, Actor Y, Actor K, Actor X",2.6
Movie 2438,드라마,Director Y,"Actor F, Actor Q, Actor S, Actor F",2.3
Movie 2658,액션,Director K,"Actor Q, Actor D, Actor X",9.8
Movie 1308,드라마,Director M,"Actor U, Actor J, Actor X",3.2
Movie 3370,SF,Director I,Actor L,9.7
Movie 5752,액션,Director D,"Actor T, Actor V",2.5
Movie 5816,SF,Director S,Actor T,1.8
Movie 4961,액션,Director J,"Actor A, Actor W, Actor F, Actor B",4.6
Movie 4354,액션,Director D,Actor O,0.7
Movie 8250,애니메이션,Director L,Actor H,3.6
Movie 9058,SF,Director S,"Actor Q, Actor N, Actor R, Actor L",3.4
Movie 2978,애니메이션,Director I,"Actor J, Actor C, Actor W, Actor E",1.2
Movie 2438,드라마,Director U,"Actor M, Actor G, Actor E",8.8
Movie 3517,로맨스,Director X,"Actor T, Actor W",9.6
Movie 4623,액션,Director X,"Actor S, Actor A",4.0
Movie 8001,애니메이션,Director M,Actor S,7.7
Movie 6632,SF,Director I,Actor G,6.8
Movie 4863,스릴러,Director P,"Actor U, Actor W, Actor Z",9.8
Movie 8340,액션,Director U,"Actor C, Actor E, Actor Q",1.9
Movie 3958,SF,Director W,"Actor R, Actor B, Actor I, Actor C, Actor K",9.8
Movie 5630,스릴러,Director Z,"Actor V, Actor C, Actor D, Actor O, Actor E",3.1
Movie 4834,드라마,Director I,"Actor R, Actor Y, Actor T",6.7
Movie 2303,액션,Director C,"Actor W, Actor W",4.3
Movie 6357,드라마,Director L,Actor C,3.5
Movie 2620,로맨스,Director N,"Actor S, Actor X",1.1
Movie 4436,코미디,Director K,Actor U,6.5
Movie 7006,애니메이션,Director M,"Actor Q, Actor Q, Actor F, Actor M, Actor B",7.0
Movie 7240,드라마,Director I,"Actor U, Actor F, Actor M, Actor V, Actor I",7.2
Movie 9986,스릴러,Director Q,Actor M,2.7
Movie 3450,드라마,Director N,"Actor P, Actor Y",3.8
Movie 9932,애니메이션,Director N,"Actor C, Actor J, Actor H",6.0
Movie 9538,스릴러,Director E,"Actor R, Actor J, Actor D, Actor D",3.3
Movie 3036,SF,Director N,"Actor P, Actor L, Actor P, Actor C, Actor T",4.1
Movie 2190,애니메이션,Director V,Actor O,7.3
Movie 9979,SF,Director N,"Actor J, Actor T, Actor H, Actor O",5.6
Movie 4587,코미디,Director T,"Actor X, Actor R",7.7
Movie 5352,애니메이션,Director H,Actor E,9.2
Movie 1334,로맨스,Director M,"Actor X, Actor J, Actor F",1.8
Movie 5358,액션,Director A,"Actor Y, Actor N, Actor S, Actor D, Actor K",7.9
Movie 7980,로맨스,Director Z,Actor F,7.2
Movie 9387,SF,Director A,Actor C,1.3
Movie 8312,SF,Director R,"Actor Z, Actor S, Actor Z, Actor G",9.5
Movie 92,SF,Director F,"Actor P, Actor F",1.4
Movie 5493,애니메이션,Director O,"Actor B, Actor I, Actor K, Actor F",1.1
Movie 9944,애니메이션,Director Y,Actor N,2.2
Movie 5921,스릴러,Director A,"Actor Z, Actor O",0.7
Movie 8272,드라마,Director A,Actor M,0.3
Movie 6832,드라마,Director T,"Actor O, Actor C, Actor V",2.3
Movie 6512,로맨스,Director A,"Actor D, Actor N, Actor L, Actor S, Actor K",9.5
Movie 5836,로맨스,Director C,"Actor B, Actor V, Actor E, Actor L",7.4
Movie 3297,액션,Director B,"Actor E, Actor Q, Actor M, Actor N",2.8
Movie 6741,애니메이션,Director O,Actor G,9.1
Movie 8970,코미디,Director N,"Actor G, Actor V, Actor D",5.6
Movie 8663,코미디,Director Y,Actor G,6.2
Movie 8836,SF,Director J,"Actor O, Actor A, Actor D, Actor W, Actor A",6.6
Movie 6976,스릴러,Director G,Actor U,0.1
Movie 5904,코미디,Director A,"Actor P, Actor L, Actor Z, Actor C",9.8
Movie 3501,드라마,Director K,"Actor N, Actor M, Actor X, Actor D, Actor K",3.0
Movie 986,로맨스,Director S,"Actor E, Actor Y, Actor K",10.0
Movie 6888,스릴러,Director V,"Actor W, Actor R",4.3
Movie 4997,SF,Director N,"Actor F, Actor D, Actor W, Actor W",0.3
Movie 8097,스릴러,Director F,"Actor B, Actor L, Actor X",3.3
Movie 8789,드라마,Director I,"Actor M, Actor P, Actor H, Actor F",1.4
Movie 5626,애니메이션,Director U,"Actor T, Actor E, Actor Q",2.7
Movie 3312,드라마,Director N,"Actor Q, Actor T, Actor I, Actor H",3.2
Movie 751,SF,Director Y,"Actor M, Actor I, Actor A, Actor L",9.7
Movie 6298,코미디,Director M,"Actor B, Actor Y, Actor H",2.7
Movie 2126,코미디,Director V,"Actor L, Actor Q, Actor T",5.3
Movie 1590,드라마,Director L,"Actor U, Actor Z, Actor K",7.6
Movie 231,로맨스,Director R,"Actor W, Actor U",8.3
Movie 706,로맨스,Director K,"Actor X, Actor U",6.0
Movie 9085,로맨스,Director F,Actor Y,5.8
Movie 1105,드라마,Director M,"Actor T, Actor L, Actor N",9.6
Movie 730,액션,Director B,"Actor M, Actor G, Actor Y, Actor K, Actor B",0.5
Movie 7183,애니메이션,Director E,"Actor F, Actor H, Actor K, Actor Q",5.7
Movie 6552,SF,Director L,"Actor W, Actor A",3.6
Movie 2052,액션,Director E,"Actor O, Actor Q",9.3
Movie 4600,액션,Director G,"Actor C, Actor Y, Actor P",0.6
Movie 6257,코미디,Director J,"Actor K, Actor P",1.8
Movie 2350,애니메이션,Director Q,"Actor O, Actor B",6.2
Movie 7085,SF,Director R,"Actor A, Actor T, Actor D, Actor J, Actor T",1.6
Movie 5614,SF,Director X,"Actor X, Actor S, Actor P, Actor E, Actor W",9.0
Movie 6758,드라마,Director Q,"Actor G, Actor J",6.1
Movie 9485,SF,Director L,"Actor E, Actor N, Actor E, Actor Z, Actor Z",2.7
Movie 7547,스릴러,Director U,"Actor D, Actor C, Actor Q, Actor A",6.4
Movie 536,코미디,Director F,"Actor Y, Actor W, Actor U",6.6
Movie 5402,로맨스,Director D,"Actor F, Actor E, Actor S, Actor R, Actor E",2.5
Movie 3435,액션,Director O,"Actor W, Actor T",1.4
Movie 5077,드라마,Director R,"Actor D, Actor V, Actor R, Actor Q",1.9
Movie 8026,SF,Director L,Actor H,8.7
Movie 1916,액션,Director Z,"Actor M, Actor W, Actor R",0.2
Movie 2506,로맨스,Director K,Actor N,7.5
Movie 2402,SF,Director F,"Actor G, Actor R",2.9
Movie 916,코미디,Director X,"Actor D, Actor E, Actor K, Actor A, Actor P",0.2
Movie 5072,SF,Director K,"Actor H, Actor C",7.8
Movie 4584,로맨스,Director G,"Actor J, Actor L, Actor X, Actor E",7.5
Movie 1344,애니메이션,Director M,"Actor C, Actor R, Actor D, Actor K",3.6
Movie 6750,스릴러,Director R,"Actor T, Actor D, Actor G, Actor F",0.1
Movie 7422,스릴러,Director I,"Actor Q, Actor Q, Actor X, Actor P",3.5
Movie 169,코미디,Director E,"Actor F, Actor G, Actor C",4.0
Movie 5621,드라마,Director M,"Actor Y, Actor G, Actor F",3.9
Movie 3886,로맨스,Director E,"Actor E, Actor N, Actor V, Actor G",6.6
Movie 1334,SF,Director I,Actor U,3.7
Movie 2197,SF,Director S,"Actor W, Actor R, Actor R, Actor E, Actor N",5.0
Movie 5383,SF,Director I,"Actor H, Actor A",9.6
Movie 5659,로맨스,Director I,Actor X,8.9
Movie 4109,코미디,Director V,"Actor Z, Actor A, Actor C, Actor C, Actor U",5.4
Movie 4441,드라마,Director G,"Actor K, Actor M, Actor X",7.7
Movie 6198,코미디,Director E,Actor I,8.8
Movie 3101,액션,Director C,Actor I,0.4
Movie 4502,스릴러,Director B,"Actor E, Actor V",9.5
Movie 7517,로맨스,Director P,"Actor C, Actor K",5.8
Movie 6900,애니메이션,Director W,"Actor X, Actor B, Actor Z, Actor F",1.9
Movie 9926,로맨스,Director N,"Actor H, Actor X",8.4
Movie 8970,드라마,Director D,Actor K,6.5
Movie 3243,애니메이션,Director I,"Actor V, Actor F, Actor L, Actor A",3.9
Movie 7407,스릴러,Director P,"Actor U, Actor T",1.8
Movie 1037,애니메이션,Director C,"Actor B, Actor O, Actor J, Actor P, Actor T",0.4
Movie 8615,SF,Director M,"Actor H, Actor U",4.5
Movie 9349,로맨스,Director X,Actor P,5.0
Movie 981,액션,Director L,Actor A,2.8
Movie 6168,애니메이션,Director W,Actor H,5.7
Movie 5073,코미디,Director U,"Actor E, Actor A, Actor N, Actor P, Actor Z",5.8
Movie 2089,액션,Director H,"Actor Q, Actor K, Actor A, Actor O",2.7
Movie 6523,로맨스,Director S,Actor I,4.2
Movie 7368,액션,Director X,"Actor D, Actor C",7.5
Movie 4266,드라마,Director G,Actor V,7.7
Movie 422,스릴러,Director R,"Actor F, Actor P, Actor W",4.5
Movie 6093,드라마,Director J,"Actor Z, Actor H",6.0
Movie 566,SF,Director F,"Actor Z, Actor Q, Actor R, Actor T",2.6
Movie 7988,애니메이션,Director S,"Actor K, Actor P",8.9
Movie 7055,액션,Director V,"Actor U, Actor U",9.1
Movie 5612,스릴러,Director Q,"Actor J, Actor Z, Actor P, Actor M",4.2
Movie 4998,SF,Director M,Actor F,6.0
Movie 9442,로맨스,Director J,"Actor D, Actor F, Actor A",2.2
Movie 8772,애니메이션,Director F,"Actor R, Actor U, Actor Q, Actor G, Actor U",6.1
Movie 5917,코미디,Director P,"Actor N, Actor I, Actor J, Actor Y",8.5
Movie 676,코미디,Director R,Actor L,3.7
Movie 6273,스릴러,Director P,Actor I,2.3
Movie 8260,코미디,Director Q,Actor O,6.1
Movie 3610,스릴러,Director G,"Actor K, Actor D, Actor J, Actor C",9.5
Movie 7055,코미디,Director H,"Actor J, Actor O, Actor A",9.5
Movie 9942,로맨스,Director B,Actor E,0.2
Movie 2426,로맨스,Director R,Actor Q,3.6
Movie 216,드라마,Director N,"Actor W, Actor X",0.7
Movie 6801,스릴러,Director Q,"Actor W, Actor X",8.0
Movie 7587,SF,Director S,"Actor Z, Actor R",4.2
Movie 4376,드라마,Director Z,Actor T,7.3
Movie 7034,로맨스,Director U,"Actor I, Actor A, Actor M",9.8
Movie 4036,애니메이션,Director W,"Actor A, Actor A",3.9
Movie 1720,코미디,Director D,"Actor X, Actor L, Actor Q, Actor O",2.9
Movie 9008,드라마,Director V,"Actor V, Actor M",4.2
Movie 1735,애니메이션,Director E,"Actor M, Actor R, Actor K, Actor L",4.8
